IndiceGene,ProbeSetID,Alpha,MeanPositive,MeanNegative,DeltaMean_Log2,T_Welch,P_Welch,FDR_Welch,AUC_PositiveHigher,AUC_Separation,EvidenceScore,Contraste,ClassePositiva,ClasseNegativa
33666,1449366_at,0.0388382054398964,12.4579,7.952312,4.505588,25.9076297080944,2.52907914700874e-08,0.000510543978501366,1,1,4,G4_vs_G1_infeccao_2h,G4_Infected_2h,G1_Control_T0
12053,1427747_a_at,0.0363341052664707,11.73892,7.262452,4.476468,16.7948499861756,3.72332574520381e-07,0.000981385942107303,1,1,3.84284951250989,G4_vs_G1_infeccao_2h,G4_Infected_2h,G1_Control_T0
19064,1434758_at,0.0351291515226163,9.760212,5.78625,3.973962,18.8470734677693,5.04028101082367e-06,0.00268759883086185,1,1,3.5673877493278,G4_vs_G1_infeccao_2h,G4_Infected_2h,G1_Control_T0
35103,1450808_at,0.0300353019592699,10.75142,7.288468,3.462952,21.0785716835247,2.76102129440468e-08,0.000510543978501366,1,1,3.54193428904283,G4_vs_G1_infeccao_2h,G4_Infected_2h,G1_Control_T0
3863,1419532_at,0.0301292682303619,10.34682,6.64092,3.7059,16.5047826837735,6.69944505409951e-07,0.00120860668553977,1,1,3.48458849968518,G4_vs_G1_infeccao_2h,G4_Infected_2h,G1_Control_T0
20067,1435761_at,0.0298414322966096,9.400946,5.90404,3.496906,16.8560618952988,1.42560459549532e-06,0.00162805323269984,1,1,3.39148883323009,G4_vs_G1_infeccao_2h,G4_Infected_2h,G1_Control_T0
18790,1434484_at,0.0274525651685108,10.3504,7.02532,3.32508,20.4823123408276,1.19721694035368e-07,0.000820112142084591,1,1,3.38230588538743,G4_vs_G1_infeccao_2h,G4_Infected_2h,G1_Control_T0
21362,1437056_x_at,0.0298216688116048,10.6538,7.113986,3.539814,17.6530289550231,4.2947344400534e-06,0.00258262423974465,1,1,3.3396298456995,G4_vs_G1_infeccao_2h,G4_Infected_2h,G1_Control_T0
21366,1437060_at,0.0273205429372216,8.346544,5.100494,3.24605,12.4037735056643,1.81672757130213e-06,0.0017433240466659,1,1,3.26187974099336,G4_vs_G1_infeccao_2h,G4_Infected_2h,G1_Control_T0
34645,1450350_a_at,0.0279743418182675,9.667082,6.422178,3.244904,14.7934327274014,2.47374202077306e-06,0.00201650152678264,1,1,3.25925479791853,G4_vs_G1_infeccao_2h,G4_Infected_2h,G1_Control_T0
7259,1422953_at,0.0252052222509187,12.34848,9.38978,2.9587,18.1856166755941,1.19182881629557e-07,0.000820112142084591,1,1,3.24312472938125,G4_vs_G1_infeccao_2h,G4_Infected_2h,G1_Control_T0
1405,1417074_at,0.0257501482371061,8.253356,5.290446,2.96291,18.3334078564609,3.27020965256339e-07,0.000981385942107303,1,1,3.23440583804916,G4_vs_G1_infeccao_2h,G4_Infected_2h,G1_Control_T0
35832,1451537_at,0.0244309577403487,9.044274,6.138634,2.90564,18.7854300860232,1.2728731058274e-07,0.000820112142084591,1,1,3.21141257302709,G4_vs_G1_infeccao_2h,G4_Infected_2h,G1_Control_T0
4636,1420330_at,0.0245934527720734,9.804498,6.583028,3.22147,13.5660160251346,9.25031672243907e-07,0.0014851008454075,1,1,3.20735671656551,G4_vs_G1_infeccao_2h,G4_Infected_2h,G1_Control_T0
33181,1448881_at,0.0227060594909453,12.32996,9.531466,2.798494,22.299944173015,3.39600438017804e-08,0.000510543978501366,1,1,3.20574760484087,G4_vs_G1_infeccao_2h,G4_Infected_2h,G1_Control_T0
9137,1424831_at,0.0273290908178089,8.203348,5.159312,3.044036,20.9248681289687,6.09007440766392e-06,0.00283163346247475,1,1,3.15327145442306,G4_vs_G1_infeccao_2h,G4_Infected_2h,G1_Control_T0
1202,1416871_at,0.0236993666279884,10.54098,7.495152,3.045828,13.6713345772262,1.13169998605776e-06,0.00162805323269984,1,1,3.13322842823551,G4_vs_G1_infeccao_2h,G4_Infected_2h,G1_Control_T0
3178,1418847_at,0.0251829605386579,9.989574,6.898356,3.091218,11.19140767824,4.28482002615099e-06,0.00258262423974465,1,1,3.12062855688407,G4_vs_G1_infeccao_2h,G4_Infected_2h,G1_Control_T0
41188,1456893_at,0.0228665197194002,10.259326,7.517556,2.74177,16.0860527930892,2.43111495714139e-07,0.000981385942107303,1,1,3.11107724073251,G4_vs_G1_infeccao_2h,G4_Infected_2h,G1_Control_T0
23147,1438841_s_at,0.0264247952683426,7.999584,5.082456,2.917128,12.8750638627005,5.1989597212914e-06,0.00268759883086185,1,1,3.10870821829042,G4_vs_G1_infeccao_2h,G4_Infected_2h,G1_Control_T0
36153,1451858_at,0.023809658745305,9.456242,6.357124,3.099118,14.4963726729007,7.30522045348768e-06,0.00292782413283991,1,1,3.07047177392452,G4_vs_G1_infeccao_2h,G4_Infected_2h,G1_Control_T0
32873,1448573_a_at,0.023247938830943,8.30631,5.513154,2.793156,13.0385819242582,1.3721617954384e-06,0.00162805323269984,1,1,3.06552538138112,G4_vs_G1_infeccao_2h,G4_Infected_2h,G1_Control_T0
44750,1460458_at,0.0225984978830752,8.493808,5.751022,2.742786,13.67956002157,1.57014526027869e-06,0.00163221988787908,1,1,3.03728699723121,G4_vs_G1_infeccao_2h,G4_Infected_2h,G1_Control_T0
26645,1442339_at,0.0229257510632615,10.81754,8.093018,2.724522,12.2619295169823,2.01582004641562e-06,0.00183501673340957,1,1,3.0262092378336,G4_vs_G1_infeccao_2h,G4_Infected_2h,G1_Control_T0
24208,1439902_at,0.0212180237925074,8.908298,6.383356,2.524942,15.2229041960505,3.91675283429003e-07,0.000981385942107303,1,1,3.02050770602888,G4_vs_G1_infeccao_2h,G4_Infected_2h,G1_Control_T0
5070,1420764_at,0.0223915630719517,8.197478,5.42538,2.772098,17.087446344009,2.31900817410538e-06,0.00193684421593197,1,1,3.01588953879182,G4_vs_G1_infeccao_2h,G4_Infected_2h,G1_Control_T0
14918,1430612_at,0.0217327121470321,10.58826,8.096236,2.492024,14.1879835988851,6.17185425128282e-07,0.00115981999411294,1,1,3.00441499032531,G4_vs_G1_infeccao_2h,G4_Infected_2h,G1_Control_T0
40507,1456212_x_at,0.0222673992720634,9.903284,7.212226,2.691058,12.196474814798,2.01513369135472e-06,0.00183501673340957,1,1,3.00183085630706,G4_vs_G1_infeccao_2h,G4_Infected_2h,G1_Control_T0
40194,1455899_x_at,0.0241355955723255,11.19906,8.38859,2.81047,12.6276695137311,9.2559404738841e-06,0.00333961737050117,1,1,2.99743842701325,G4_vs_G1_infeccao_2h,G4_Infected_2h,G1_Control_T0
39008,1454713_s_at,0.022808004899889,9.891164,6.975244,2.91592,11.966168770153,1.12563928365077e-05,0.00363567105305236,1,1,2.97545463634099,G4_vs_G1_infeccao_2h,G4_Infected_2h,G1_Control_T0
3978,1419647_a_at,0.0216881331214781,8.801916,5.73562,3.066296,11.3323934461134,1.7070380541304e-05,0.00424686605925692,1,1,2.95949614329225,G4_vs_G1_infeccao_2h,G4_Infected_2h,G1_Control_T0
3053,1418722_at,0.0223820832317971,10.492794,7.773964,2.71883,10.0755582569056,8.31824991418616e-06,0.00315261671747656,1,1,2.93955204693573,G4_vs_G1_infeccao_2h,G4_Infected_2h,G1_Control_T0
3941,1419610_at,0.0227458260301881,8.592116,5.935442,2.656674,10.6985417565524,8.07050680418519e-06,0.00308464345233522,1,1,2.93799787680996,G4_vs_G1_infeccao_2h,G4_Infected_2h,G1_Control_T0
8562,1424256_at,0.0245336969017765,10.245778,7.459746,2.786032,15.4262001617428,3.0791726471389e-05,0.0054507148357509,1,1,2.93763547625868,G4_vs_G1_infeccao_2h,G4_Infected_2h,G1_Control_T0
31590,1447284_at,0.0215746911993156,9.18524,6.60199,2.58325,13.2730606720626,3.3868153464687e-06,0.00238669935845445,1,1,2.92538969569877,G4_vs_G1_infeccao_2h,G4_Infected_2h,G1_Control_T0
34723,1450428_at,0.0213532547869233,6.610034,3.842666,2.767368,13.5505381608539,9.49774849036343e-06,0.0033996663068562,1,1,2.91388168110185,G4_vs_G1_infeccao_2h,G4_Infected_2h,G1_Control_T0
3940,1419609_at,0.0212235257866471,11.3164,8.672658,2.643742,11.2949353138872,6.87864144456957e-06,0.00292782413283991,1,1,2.90281511908739,G4_vs_G1_infeccao_2h,G4_Infected_2h,G1_Control_T0
34279,1449984_at,0.023820732914607,8.059742,4.323382,3.73636,7.30911545201281,0.00151799843421566,0.0326793543587402,1,1,2.89392149050464,G4_vs_G1_infeccao_2h,G4_Infected_2h,G1_Control_T0
34617,1450322_s_at,0.0202787847222593,7.851552,5.557796,2.293756,12.8389977751377,1.59237433907628e-06,0.00163221988787908,1,1,2.87789855800789,G4_vs_G1_infeccao_2h,G4_Infected_2h,G1_Control_T0
456,1416125_at,0.0218018854230291,10.20513,7.59865,2.60648,13.109449641395,1.24626421295021e-05,0.00373662691479075,1,1,2.8772565860467,G4_vs_G1_infeccao_2h,G4_Infected_2h,G1_Control_T0
15316,1431010_a_at,0.0221428728903195,9.287874,6.73953,2.548344,13.7716920367116,1.0971974645154e-05,0.00363567105305236,1,1,2.87674658578268,G4_vs_G1_infeccao_2h,G4_Infected_2h,G1_Control_T0
33484,1449184_at,0.0188326157659936,10.205902,8.083668,2.122234,18.1211765673069,3.20036577151174e-07,0.000981385942107303,1,1,2.86970878440608,G4_vs_G1_infeccao_2h,G4_Infected_2h,G1_Control_T0
6390,1422084_at,0.0206587500053958,8.256748,5.800438,2.45631,13.7275069603985,6.45249996581844e-06,0.00287830178564743,1,1,2.84892394730644,G4_vs_G1_infeccao_2h,G4_Infected_2h,G1_Control_T0
10746,1426440_at,0.019358531528658,9.90677,7.879106,2.027664,15.1855110196376,5.84745242600829e-07,0.00114663457332783,1,1,2.8417300771481,G4_vs_G1_infeccao_2h,G4_Infected_2h,G1_Control_T0
