IndiceGene,ProbeSetID,Alpha,MeanPositive,MeanNegative,DeltaMean_Log2,T_Welch,P_Welch,FDR_Welch,AUC_PositiveHigher,AUC_Separation,EvidenceScore
34304,1450009_at,-0.0611290992898952,9.493216,11.83528,-2.342064,-3.14823248678143,0.0219318622151209,0.628220012478856,0.16,0.84,3.46299966571602
4022,1419691_at,-0.0536945797915663,8.763964,10.9487,-2.184736,-3.43146482416844,0.00964026149614074,0.625503394433033,0.08,0.92,3.45739818681545
4040,1419709_at,-0.0495439089550259,8.172344,10.235264,-2.06292,-3.63745604267141,0.00849530113311109,0.625503394433033,0.08,0.92,3.34829195439295
9757,1425451_s_at,-0.0443295735350486,10.28438,12.06484,-1.78046,-5.93016367674048,0.0010724155088257,0.625503394433033,0,1,3.32744513378119
3863,1419532_at,-0.0396485383718193,9.65233,11.62704,-1.97471,-5.81521086329379,0.000452881242130954,0.625503394433033,0,1,3.31657690362009
4095,1419764_at,-0.0407358520988768,10.78536,12.43628,-1.65092,-6.04091527791952,0.000973424055028044,0.625503394433033,0,1,3.22483718056664
10120,1425814_a_at,0.0322777345467204,9.502724,7.578254,1.92447,4.20459448131347,0.00893144823166053,0.625503394433033,1,1,3.17900473957919
19064,1434758_at,-0.0375410392683356,8.709818,10.257398,-1.54758,-4.25992589930867,0.00290986846240109,0.625503394433033,0,1,3.13761745426565
456,1416125_at,-0.0381755858630311,8.27545,9.785294,-1.509844,-6.54668299952379,0.000362281102347456,0.625503394433033,0,1,3.13523311629672
21362,1437056_x_at,-0.0360371549096044,9.606978,11.17944,-1.572462,-4.13414974741328,0.00358622351515463,0.625503394433033,0,1,3.12143238312683
3053,1418722_at,-0.0402091295734495,12.32206,13.88454,-1.56248,-3.84918462160524,0.0134767283289473,0.625503394433033,0.04,0.96,3.10630443904159
33734,1449434_at,0.0418643444950629,6.429672,4.92468,1.504992,2.85819979195821,0.0379935195597446,0.635469503438866,0.96,0.96,3.08024265783929
31021,1446715_at,-0.0501019043670919,5.36294,7.001242,-1.638302,-2.37819167195106,0.0447627038096679,0.647480020692697,0.12,0.88,3.06018423297666
44750,1460458_at,-0.0331287272143683,7.672314,9.141158,-1.468844,-4.22816103187296,0.00347262289189099,0.625503394433033,0,1,3.03880354450628
18352,1434046_at,-0.0290414069824367,8.286406,9.938952,-1.652546,-3.33008365608321,0.0118770707487411,0.625503394433033,0,1,3.03407977354236
26329,1442023_at,0.0382677922179902,6.011008,4.781466,1.229542,3.09314855814502,0.029219316098676,0.628220012478856,1,1,3.03268793381002
33493,1449193_at,0.0423227618539856,7.411466,5.658696,1.75277,2.39908074016092,0.0445595536256758,0.646199494556786,0.88,0.88,2.97586672652125
36909,1452614_at,-0.0288329757473112,5.387266,6.95354,-1.566274,-2.93239982126257,0.040487660486463,0.641415895134724,0,1,2.94794180368582
9004,1424698_s_at,-0.0327239313686259,5.73952,7.187146,-1.447626,-3.51420306171221,0.00896755220491168,0.625503394433033,0.04,0.96,2.94500424666762
12610,1428304_at,0.0226070270934956,7.218992,5.551374,1.667618,4.26463393651591,0.0104415007163467,0.625503394433033,1,1,2.93391918780627
35746,1451451_at,-0.0373197151311679,4.680644,6.263124,-1.58248,-3.10346262360118,0.0185172519223475,0.625503394433033,0.12,0.88,2.90580230747737
9279,1424973_at,0.0318952800255301,5.774396,4.003098,1.771298,2.35739686134409,0.0773526305535493,0.66830307682807,0.96,0.96,2.89986371945513
8643,1424337_at,0.0216892181550686,11.65614,10.087532,1.568608,3.81671884704657,0.0182691040644904,0.625503394433033,1,1,2.88541326698788
11157,1426851_a_at,-0.0333405846714774,3.403192,4.906252,-1.50306,-2.40783478722904,0.0610258672464081,0.657818307869183,0.04,0.96,2.86647666837403
9137,1424831_at,-0.0276696537307986,6.829214,8.045714,-1.2165,-3.73411935357097,0.00591640077534653,0.625503394433033,0,1,2.86414029178012
11242,1426936_at,-0.0293772394816752,4.890614,6.016946,-1.126332,-3.50242533343688,0.00933650934856648,0.625503394433033,0,1,2.86157369463824
21197,1436891_at,0.0239756426128204,7.685746,6.078964,1.606782,4.2336280711487,0.00726677956230786,0.625503394433033,0.96,0.96,2.85572943069238
10531,1426225_at,0.0321611194877136,7.151198,5.082674,2.068524,2.26409533869219,0.0725055068826395,0.666861785698049,0.88,0.88,2.84935556162698
649,1416318_at,-0.0319136490919449,8.709512,9.89109,-1.181578,-3.60993503436658,0.0148366955135033,0.625503394433033,0.04,0.96,2.84175418685753
5070,1420764_at,-0.0251872501799912,6.332088,7.535954,-1.203866,-3.75560326939191,0.0092711487444645,0.625503394433033,0,1,2.81925743387504
8562,1424256_at,-0.0229884966761348,8.00355,9.256638,-1.253088,-3.20297726173978,0.0197050045174928,0.625503394433033,0,1,2.79993849326382
9949,1425643_at,0.0202372857395345,12.09728,10.53364,1.56364,4.10742857231986,0.0124830180676576,0.625503394433033,0.96,0.96,2.77998085136678
32531,1448231_at,-0.0256564463803972,6.628012,7.634744,-1.006732,-8.18117768276647,3.74009990656262e-05,0.625503394433033,0,1,2.76024935429187
8815,1424509_at,-0.0288382705467731,10.421038,11.73664,-1.315602,-2.74076823376326,0.02603292307882,0.628220012478856,0.08,0.92,2.74754310913331
33064,1448764_a_at,0.0295960814676645,5.849914,3.650658,2.199256,2.01640842278572,0.0972712973530678,0.676759281514576,0.84,0.84,2.74021395557731
40137,1455842_x_at,0.0213045898526763,7.744642,6.377078,1.367564,4.47762824925991,0.00418163806938889,0.625503394433033,0.96,0.96,2.73111500139405
37476,1453181_x_at,-0.0206280356491274,7.915834,9.062652,-1.146818,-3.9025504926587,0.00529910286380962,0.625503394433033,0,1,2.72537666817344
5125,1420819_at,-0.0221958526343744,9.474106,10.52536,-1.051254,-7.67915692615245,0.000316055963231725,0.625503394433033,0,1,2.7186983384763
3978,1419647_a_at,-0.0210042736700395,7.996078,9.330876,-1.334798,-3.70634416152628,0.00622358347089029,0.625503394433033,0.04,0.96,2.71511858148601
18502,1434196_at,0.0195028868141791,9.857924,8.68941,1.168514,4.74673464219395,0.00453058937011492,0.625503394433033,1,1,2.71430955359609
34124,1449829_at,-0.0289752783282083,5.934206,7.101908,-1.167702,-3.74757115800473,0.00759928896811581,0.625503394433033,0.08,0.92,2.70899211392033
640,1416309_at,0.0189168885557234,11.37748,10.197436,1.180044,5.12408821206702,0.00591095797404641,0.625503394433033,1,1,2.70862350659554
21366,1437060_at,-0.0341662581648361,9.108234,10.38695,-1.278716,-2.51077805085563,0.0398071680855355,0.639191745803548,0.12,0.88,2.70532104917742
35207,1450912_at,0.0324984690521621,7.752322,6.489126,1.263196,2.47130872558381,0.0550958357650045,0.654212056288867,0.92,0.92,2.70328018171441
5568,1421262_at,-0.0311659421834809,10.10208,11.41162,-1.30954,-2.35635356858201,0.0495045483967782,0.65293727442261,0.08,0.92,2.70131556057965
13833,1429527_a_at,-0.0231527009239496,6.86555,8.052866,-1.187316,-3.2027668529051,0.0125705993223432,0.625503394433033,0.04,0.96,2.70037630105154
18049,1433743_at,-0.0300814684678321,3.502926,4.636972,-1.134046,-2.77633227268206,0.0333841045748239,0.632631491067644,0.08,0.92,2.69155097537167
34431,1450136_at,-0.0217234140422003,7.119664,8.113042,-0.993378,-4.46648086743821,0.0028530978294266,0.625503394433033,0,1,2.69139235733722
38234,1453939_x_at,0.0204303995165416,8.68231,7.394738,1.287572,2.99517863642915,0.0174941755189438,0.625503394433033,0.96,0.96,2.68975575817038
