IndiceGene,ProbeSetID,Alpha,MeanPositive,MeanNegative,DeltaMean_Log2,T_Welch,P_Welch,FDR_Welch,AUC_PositiveHigher,AUC_Separation,EvidenceScore
4040,1419709_at,-0.0808176309338211,8.172344,10.406252,-2.233908,-4.04649977087843,0.00565087818328903,0.762985123683336,0.04,0.96,3.87209896790516
3261,1418930_at,0.0582617316821904,8.513486,6.246998,2.266488,4.41151124575358,0.00304026559781084,0.762985123683336,1,1,3.68688829134907
34304,1450009_at,-0.0792843216532785,9.493216,11.61124,-2.118024,-2.85961539238918,0.0317782047780503,0.762985123683336,0.12,0.88,3.64373631159733
4022,1419691_at,-0.0607490257194774,8.763964,10.791234,-2.02727,-3.05170060389204,0.0160798958139513,0.762985123683336,0.08,0.92,3.45570933845145
33325,1449025_at,0.0523622056879244,9.296098,7.42178,1.874318,4.62471146786235,0.0045047419982107,0.762985123683336,1,1,3.44674595298682
33734,1449434_at,0.0557533956595867,6.429672,4.850562,1.57911,3.06406897575962,0.033571602863615,0.762985123683336,1,1,3.36288825114092
20212,1435906_x_at,0.0473583394514379,12.04682,9.852474,2.194346,2.8235124910031,0.0427050443266277,0.762985123683336,0.92,0.92,3.36122751093673
2571,1418240_at,0.0427280860034595,11.62412,9.616222,2.007898,2.67343508384829,0.0512715635987213,0.762985123683336,0.96,0.96,3.30447004556201
22982,1438676_at,0.0431433622193692,8.270362,6.502012,1.76835,3.91642008771043,0.0155511555844687,0.762985123683336,1,1,3.28751224353565
11687,1427381_at,0.0406494408356683,9.882294,7.858224,2.02407,2.71324444827812,0.0332360648720409,0.762985123683336,0.92,0.92,3.20564240587719
20067,1435761_at,-0.0503491308944054,8.907552,10.442798,-1.535246,-3.67843153439886,0.00631300095980322,0.762985123683336,0.04,0.96,3.19732334948
4855,1420549_at,0.0389059607926029,11.35378,9.40946,1.94432,2.5732005311725,0.0587050218533767,0.762985123683336,0.92,0.92,3.15007963650494
2983,1418652_at,0.0364197046678303,6.545392,4.982836,1.562556,4.19770187774019,0.0032052985004083,0.762985123683336,1,1,3.11660661568344
37491,1453196_a_at,0.0321232375553014,10.517,8.88627,1.63073,2.65108204635126,0.0520420897232379,0.762985123683336,1,1,3.09250010447298
1516,1417185_at,0.0380000420598826,10.3036,8.860714,1.442886,4.25187112205175,0.0121128796363289,0.762985123683336,1,1,3.08515719367222
3374,1419043_a_at,0.0302091317607298,9.855666,8.071004,1.784662,3.0699490599766,0.0161952813674596,0.762985123683336,0.96,0.96,3.0544222193912
44490,1460197_a_at,0.0326519571664569,8.700398,7.197216,1.503182,3.11440809840747,0.0149899209066067,0.762985123683336,1,1,3.04468081185028
34779,1450484_a_at,0.036627550902608,9.554948,8.21897,1.335978,3.75137789385019,0.0098799120481151,0.762985123683336,1,1,3.02261003162295
22343,1438037_at,0.0350051542904346,8.910142,7.407404,1.502738,3.26862080944659,0.0234939886011679,0.762985123683336,0.96,0.96,2.99360896355985
